iter	Passed	Remaining
0	1	184
1	3	169
2	5	163
3	6	148
4	8	155
5	9	148
6	10	143
7	12	144
8	13	138
9	14	133
10	16	130
11	18	134
12	20	135
13	21	132
14	22	130
15	24	126
16	25	123
17	27	123
18	28	122
19	30	121
20	32	120
21	33	117
22	34	116
23	36	114
24	37	112
25	38	110
26	40	109
27	41	106
28	42	104
29	44	103
30	46	102
31	47	100
32	48	98
33	49	96
34	51	94
35	52	93
36	53	91
37	54	89
38	56	87
39	57	86
40	58	84
41	59	82
42	60	80
43	62	79
44	63	77
45	65	76
46	66	75
47	67	73
48	69	72
49	70	70
50	72	69
51	73	67
52	74	66
53	75	64
54	76	62
55	78	61
56	79	59
57	80	58
58	82	57
59	83	55
60	84	54
61	85	52
62	87	51
63	89	50
64	90	48
65	91	47
66	93	45
67	94	44
68	95	42
69	96	41
70	98	40
71	99	38
72	101	37
73	102	36
74	104	34
75	105	33
76	106	31
77	107	30
78	109	29
79	110	27
80	111	26
81	113	24
82	115	23
83	116	22
84	117	20
85	119	19
86	120	17
87	121	16
88	123	15
89	124	13
90	125	12
91	126	11
92	128	9
93	129	8
94	131	6
95	132	5
96	134	4
97	135	2
98	137	1
99	139	0
